,0
646,115481
647,20942
648,157843
649,115384
650,89822
651,67823
652,20216
653,62921
654,28154
655,20822
656,130244
657,173982
658,84639
659,21330
660,68793
661,78869
662,26398
663,164361
664,67314
665,81047
666,80639
667,67565
668,26920
669,81056
670,21368
671,198426
672,210950
673,530
674,84513
675,152157
676,136030
677,176933
678,20794
679,153871
680,175089
681,27897
682,20265
683,86490
684,22497
685,87843
686,63762
687,25529
688,150339
689,21166
690,64152
691,676
692,201065
693,144
694,81991
695,26112
696,2116
697,80483
698,67833
699,30392
700,165454
701,98602
702,117620
703,69495
704,640
705,25099
706,86733
707,111937
708,20772
709,28220
710,646
711,58679
712,64095
713,67633
714,409
715,68060
716,80798
717,20673
718,68729
719,122733
720,21352
721,85771
722,218850
723,26184
724,80583
725,115434
726,22270
727,174616
728,68521
729,40182
730,84821
731,68538
732,24194
733,211042
734,105381
735,28850
736,379
737,120294
738,81358
739,21096
740,20204
741,81278
742,40071
743,756
744,20324
745,83074
746,80599
747,215025
748,80735
749,87896
750,115383
751,67581
752,29959
753,81992
754,80759
755,51080
756,40386
757,21429
758,80429
759,246858
760,56972
761,73915
762,116440
763,24207
764,21155
765,123945
766,26925
767,23301
768,88877
769,2097
770,26200
771,23266
772,21799
773,20704
774,32398
775,80472
776,140842
777,210735
778,61712
779,82410
780,163069
781,463
782,94672
783,80847
784,128097
785,21220
786,731
787,26397
788,179274
789,85969
790,81009
791,117481
792,49253
793,25004
794,153145
795,29676
796,621
797,20289
798,24502
799,20510
800,101485
801,86958
802,84455
803,114294
804,150197
805,66488
806,30190
807,162949
808,139158
809,190161
810,429
811,87871
812,30393
813,67697
814,164934
815,40494
816,28198
817,101056
818,31000
819,115388
820,196
821,178212
822,27046
823,24703
824,81371
825,215719
826,52031
827,779
828,127477
829,130946
830,22421
831,20260
832,85984
833,24488
834,67589
835,25496
836,26193
837,24200
838,21661
839,63829
840,166970
841,211600
842,139097
843,83243
844,127976
845,93287
846,96661
847,172345
848,143
849,25000
850,67918
851,20939
852,20918
853,80625
854,79873
855,24249
856,57423
857,68008
858,40170
859,70176
860,80776
861,26118
862,103103
863,20209
864,423
865,20344
866,155817
867,159173
868,26948
869,26069
870,110744
871,20181
872,38369
873,117284
874,40176
875,25943
876,70623
877,20284
878,20234
879,20492
880,20730
881,203450
882,21582
883,29233
884,31834
885,183887
886,30876
887,165077
888,30239
889,117110
890,84264
891,68791
892,66130
893,80705
894,20245
895,69078
896,21285
897,197980
898,130148
899,85527
900,68290
901,115059
902,114284
903,115380
904,163362
905,40351
906,40512
907,32499
908,21767
909,40425
910,99049
911,178436
912,21434
913,71445
914,22151
915,123338
916,27527
917,155
918,112538
919,176319
920,82549
921,109621
922,26186
923,26090
924,24472
925,68288
926,154833
927,25433
928,173212
929,24740
930,30237
931,26549
932,21104
933,80446
934,21738
935,98605
936,25144
937,71184
938,20710
939,20735
940,111193
941,79470
942,184724
943,21093
944,20700
945,212286
946,40312
947,63800
948,169127
949,67720
950,40100
951,101376
952,101422
953,21177
954,103099
955,154838
956,168452
957,301
958,57022
959,30872
960,24600
961,26917
962,87130
963,70083
964,115516
965,158058
966,22331
967,89260
968,138419
969,161536
970,21092
971,63830
972,41157
973,28297
974,83670
975,80802
976,115373
977,85330
978,22908
979,224668
980,84483
981,40483
982,26247
983,660
984,40307
985,95122
986,26927
987,173677
988,156348
989,167938
990,159689
991,164162
992,84245
993,80515
994,69256
995,100633
996,21929
997,110677
998,189400
999,20303
1000,26922
1001,83533
1002,186050
1003,101308
1004,124246
1005,26182
1006,22486
1007,80434
1008,52308
1009,40439
1010,96747
1011,241692
1012,25775
1013,111384
1014,67576
1015,28869
1016,156360
1017,85891
1018,114113
1019,21940
1020,330
1021,68789
1022,113575
1023,24125
1024,119778
1025,94387
1026,112468
1027,88318
1028,123524
1029,115313
1030,80809
1031,145699
1032,176724
1033,407
1034,211398
1035,81994
1036,85288
1037,97112
1038,89254
1039,99277
1040,110008
1041,71225
1042,232789
1043,84041
1044,20915
1045,59615
1046,151672
1047,289
1048,89573
1049,67851
1050,21672
1051,84517
1052,130119
1053,68292
1054,161554
1055,215098
1056,24619
1057,433
1058,178203
1059,58487
1060,20340
1061,168757
1062,24296
1063,80624
1064,155632
1065,23276
1066,20187
1067,178866
1068,40222
1069,36053
1070,26897
1071,83751
1072,80860
1073,114900
1074,20720
1075,24243
1076,77851
1077,25087
1078,65325
1079,21077
1080,57225
1081,63779
1082,26198
1083,115382
1084,115404
1085,28421
1086,108611
1087,124090
1088,144597
1089,59358
1090,733
1091,79466
1092,662
1093,151204
1094,40262
1095,84673
1096,20202
1097,87101
1098,124487
1099,20914
1100,52949
1101,81015
1102,85940
1103,24997
1104,24747
1105,26924
1106,89832
1107,21036
1108,80442
1109,59623
1110,117484
1111,208705
1112,138410
1113,85289
1114,282
1115,157686
1116,21962
1117,98413
1118,166392
1119,179687
1120,57003
1121,20677
1122,80440
1123,85768
1124,20681
1125,20666
1126,159109
1127,84267
1128,20210
1129,83485
1130,164165
1131,97118
1132,57259
1133,36071
1134,35535
1135,24639
1136,20676
1137,20975
1138,98285
1139,20390
1140,77775
1141,679
1142,84268
1143,175392
1144,32511
1145,24629
1146,162860
1147,81190
1148,22399
1149,26786
1150,184907
1151,30217
1152,81188
1153,80731
1154,145315
1155,21694
1156,80766
1157,163361
1158,166623
1159,67542
1160,146626
1161,168239
1162,80755
1163,123392
1164,20680
1165,170363
1166,500
1167,97458
1168,71446
1169,69260
1170,81982
1171,30387
1172,364
1173,67488
1174,24476
1175,77404
1176,80516
1177,20366
1178,80586
1179,21187
1180,96756
1181,48314
1182,435
1183,20819
1184,122356
1185,26216
1186,127813
1187,21441
1188,100295
1189,44665
1190,20378
1191,25252
1192,40187
1193,117604
1194,21296
1195,80595
1196,197079
1197,64094
1198,30200
1199,81181
1200,21542
1201,402
1202,170919
1203,21983
1204,26281
1205,20712
1206,83469
1207,181362
1208,86246
1209,118072
1210,120201
1211,88845
1212,201068
1213,21371
1214,29234
1215,20669
1216,24228
1217,30875
1218,26230
1219,153469
1220,115678
1221,25536
1222,22205
1223,41108
1224,200237
1225,98872
1226,358
1227,741
1228,98504
1229,116502
1230,34777
1231,103606
1232,52258
1233,69958
1234,164206
1235,175933
1236,25771
1237,27070
1238,25106
1239,26929
1240,80468
1241,75934
1242,26050
1243,20332
1244,115385
1245,123965
1246,155628
1247,67599
1248,200575
1249,100166
1250,40147
1251,170979
1252,90669
1253,75438
1254,68007
1255,88664
1256,58482
1257,215265
1258,84851
1259,79526
1260,70177
1261,624
1262,226527
1263,42528
1264,104328
1265,96168
1266,84507
1267,97701
1268,24603
1269,151312
1270,96742
1271,262
1272,24221
1273,40364
1274,25511
1275,26189
1276,68730
1277,225724
1278,27082
1279,2118
1280,115362
1281,40553
1282,40276
1283,21994
1284,58484
1285,29677
1286,195636
1287,188087
1288,115387
1289,112120
1290,26377
